Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
LEXUS GX 460,4.6,8,SemiAuto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LTYXT04.6K6W,standard SUV,3,15,19,16,2,No,542
LEXUS IS 300,2,4,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXV02.0M5A,small car,5,21,30,24,5,No,363
LEXUS IS 300,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXV02.0M5A,small car,5,21,30,24,5,No,363
LEXUS IS 300,3.5,6,SemiAuto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXV03.5M5A,small car,5,18,24,21,4,No,422
LEXUS IS 300,3.5,6,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXV03.5M5A,small car,5,18,24,21,4,No,422
LEXUS IS 350,3.5,6,SemiAuto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXV03.5M5A,small car,5,19,26,21,4,No,422
LEXUS IS 350,3.5,6,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXV03.5M5A,small car,5,19,26,21,4,No,422
LEXUS IS 350,3.5,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXV03.5M5A,small car,5,20,28,23,5,No,388
LEXUS IS 350,3.5,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXV03.5M5A,small car,5,20,28,23,5,No,388
LEXUS LC 500,5,8,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,LTYXV05.0M5A,small car,5,16,25,19,3,No,473
LEXUS LC 500,5,8,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,LTYXV05.0M5A,small car,5,16,25,19,3,No,473
LEXUS LC 500h,3.5,6,SCV-10,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LTYXV03.5P35,small car,7,27,35,30,7,Yes,298
LEXUS LC 500h,3.5,6,SCV-10,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LTYXV03.5P35,small car,7,27,35,30,7,Yes,298
LEXUS LS 500,3.4,6,SemiAuto-10,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LTYXV03.5K6A,midsize car,3,19,30,23,5,No,389
LEXUS LS 500,3.4,6,SemiAuto-10,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LTYXV03.5K6A,midsize car,3,19,30,23,5,No,389
LEXUS LS 500,3.4,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,LTYXV03.5K6A,midsize car,3,18,27,21,4,No,420
LEXUS LS 500,3.4,6,SemiAuto-10,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,LTYXV03.5K6A,midsize car,3,18,27,21,4,No,420
LEXUS LS 500h,3.5,6,SCV-10,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LTYXV03.5P35,midsize car,7,25,33,28,6,No,318
LEXUS LS 500h,3.5,6,SCV-10,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,LTYXV03.5P35,midsize car,7,25,33,28,6,No,318
LEXUS LS 500h,3.5,6,SCV-10,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,LTYXV03.5P35,midsize car,7,23,31,26,5,No,345
